"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"VSTR_XML_COST","Priority for CE (higher value should be prioritized by the spawner)","Priority for CE (higher value should be prioritized by the spawner)","Priority for CE (higher value should be prioritized by the spawner)","Priority for CE (higher value should be prioritized by the spawner)","Приоритет для CE (более высокое значение должно быть приоритетным для спавнера)","Priority for CE (higher value should be prioritized by the spawner)","Priority for CE (higher value should be prioritized by the spawner)","Priority for CE (higher value should be prioritized by the spawner)","Priority for CE (higher value should be prioritized by the spawner)","Priorité pour CE (les valeurs plus élevées doivent être prioritaires pour le générateur)","Priority for CE (higher value should be prioritized by the spawner)","Priority for CE (higher value should be prioritized by the spawner)","Priority for CE (higher value should be prioritized by the spawner)","CE 的优先级（生成器应优先考虑较高的值 0-100）"
"VSTR_NOTIFY_ERR_XML_NOITEM","No item selected!","No item selected!","No item selected!","No item selected!","Предметы не выбраны!","No item selected!","No item selected!","No item selected!","No item selected!","Aucun objet sélectionné !","No item selected!","No item selected!","No item selected!","没有选择任何项目！"
"VSTR_NOTIFY_WAIT_INFO","Please wait...getting info from server","Please wait...getting info from server","Please wait...getting info from server","Please wait...getting info from server","Пожалуйста, подождите... получение информации с сервера","Please wait...getting info from server","Please wait...getting info from server","Please wait...getting info from server","Please wait...getting info from server","Veuillez patienter... récupération des informations depuis le serveur","Please wait...getting info from server","Please wait...getting info from server","Please wait...getting info from server","请稍候...正在从服务器获取信息"
"VSTR_NOTIFY_TOTALSCANNED","Total Scanned Objects:","Total Scanned Objects:","Total Scanned Objects:","Total Scanned Objects:","Количество объектов:","Total Scanned Objects:","Total Scanned Objects:","Total Scanned Objects:","Total Scanned Objects:","Objets Totaux Scannés :","Total Scanned Objects:","Total Scanned Objects:","Total Scanned Objects:","扫描对象总数："
"VSTR_XML_ERR_NOT_DEF","NOT DEFINED!","NOT DEFINED!","NOT DEFINED!","NOT DEFINED!","НЕ ОПРЕДЕЛЕНО!","NOT DEFINED!","NOT DEFINED!","NOT DEFINED!","NOT DEFINED!","NON DÉFINI !","NOT DEFINED!","NOT DEFINED!","NOT DEFINED!","没有定义！"
"VSTR_XML_SUCCESS_RETRIVE","Successfully retrieved data from server!","Successfully retrieved data from server!","Successfully retrieved data from server!","Successfully retrieved data from server!","Данные успешно получены!","Successfully retrieved data from server!","Successfully retrieved data from server!","Successfully retrieved data from server!","Successfully retrieved data from server!","Données récupérées avec succès depuis le serveur !","Successfully retrieved data from server!","Successfully retrieved data from server!","Successfully retrieved data from server!","成功从服务器检索数据！"
"VSTR_XML_NOTIFY_ERR","Failed to save...no data to save!","Failed to save...no data to save!","Failed to save...no data to save!","Failed to save...no data to save!","Не удалось сохранить... нет данных для сохранения!","Failed to save...no data to save!","Failed to save...no data to save!","Failed to save...no data to save!","Failed to save...no data to save!","Échec de l'enregistrement... aucune donnée à enregistrer !","Failed to save...no data to save!","Failed to save...no data to save!","Failed to save...no data to save!","保存失败...没有数据可保存！"
"VSTR_XML_ERR_SELECTFIRST","You need to have an item selected from the list!","You need to have an item selected from the list!","You need to have an item selected from the list!","You need to have an item selected from the list!","Вам нужно выбрать предмет из списка!","You need to have an item selected from the list!","You need to have an item selected from the list!","You need to have an item selected from the list!","You need to have an item selected from the list!","Vous devez sélectionner un objet dans la liste !","You need to have an item selected from the list!","You need to have an item selected from the list!","You need to have an item selected from the list!","您需要从列表中选择一个项目！"
"VSTR_YEAR","Year","Year","Year","Year","Год","Year","Year","Year","Year","Année","Year","Year","Year","年"
"VSTR_MONTH","Month","Month","Month","Month","Месяц","Month","Month","Month","Month","Mois","Month","Month","Month","月"
"VSTR_DAY","Day","Day","Day","Day","День","Day","Day","Day","Day","Jour","Day","Day","Day","日"
"VSTR_HOUR","Hour","Hour","Hour","Hour","Час","Hour","Hour","Hour","Hour","Heure","Hour","Hour","Hour","小时"
"VSTR_MINUTE","Minute","Minute","Minute","Minute","Минута","Minute","Minute","Minute","Minute","Minute","Minute","Minute","Minute","分钟"
"VSTR_CANCEL","Cancel","Cancel","Cancel","Cancel","Отмена","Cancel","Cancel","Cancel","Cancel","Annuler","Cancel","Cancel","Cancel","取消"
"VSTR_APPLY","Apply","Apply","Apply","Apply","Применить","Apply","Apply","Apply","Apply","Appliquer","Apply","Apply","Apply","应用"
"VSTR_BAN_PERMA","Ban Permanently","Ban Permanently","Ban Permanently","Ban Permanently","Бан Навсегда","Ban Permanently","Ban Permanently","Ban Permanently","Ban Permanently","Bannir définitivement","Ban Permanently","Ban Permanently","Ban Permanently","永久封禁"
"VSTR_EDIT_DURATION","Edit Duration","Edit Duration","Edit Duration","Edit Duration","Изменить длительность","Edit Duration","Edit Duration","Edit Duration","Edit Duration","Modifier la durée","Edit Duration","Edit Duration","Edit Duration","编辑持续时间"
